"main", "80", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Method Call", " caller=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, target=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1"
"main", "81", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Method Entered", " "
"main", "82", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "83", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=23"
"main", "84", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=25"
"main", "85", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Field Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "86", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=26"
"main", "87", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, value=<void>"
"main", "88", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Method Returned", " "
"main", "89", "se/hig/oodp/lab/model/simplefigure/Point.java:28", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/Point.java, line=28"
"main", "90", "se/hig/oodp/lab/model/simplefigure/Point.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, value=<void>"
"main", "91", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Returned", " "
"main", "92", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=91"
"main", "93", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, p=se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "94", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:93", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=93"
